TRAIN_TT,TRAIN_CO,SM_TT,SM_CO,CAR_TT,CAR_CO,CHOICE
95,54,53,83,48,50,1
95,40,53,52,60,50,1
116,45,46,58,48,50,2
210,118,60,128,0,0,2
164,88,66,103,0,0,2
210,88,74,108,0,0,2
179,88,74,108,0,0,2
179,98,74,111,0,0,2
164,98,74,111,0,0,2
164,118,66,132,0,0,2
164,98,60,116,0,0,2
179,118,74,161,0,0,1
179,119,66,139,182,90,3
164,99,66,139,112,72,3
164,119,60,128,182,117,2
210,119,74,161,182,72,2
210,89,66,106,140,117,2
179,89,60,128,140,72,2
164,119,74,161,112,90,3
164,89,74,111,140,90,3
210,99,60,123,112,90,3
233,74,77,84,190,44,2
233,74,67,104,247,71,2
233,67,59,97,247,55,2
177,67,59,97,152,71,2
196,74,59,87,247,44,2
196,67,67,77,152,55,2
196,89,59,97,152,44,2
233,89,67,100,152,71,2
196,74,67,104,190,55,2
86,36,31,46,0,0,2
79,36,28,41,0,0,2
100,36,35,52,0,0,2
79,30,31,46,0,0,2
100,27,31,31,0,0,2
86,27,28,41,0,0,2
79,36,35,52,0,0,2
79,27,35,34,0,0,2
100,30,28,38,0,0,2
92,60,68,65,0,0,2
108,60,70,80,0,0,2
84,60,66,60,0,0,2
84,50,68,80,0,0,1
108,45,68,60,0,0,2
84,60,70,80,0,0,2
92,45,66,80,0,0,1
108,50,66,65,0,0,2
84,45,70,65,0,0,1
110,60,55,65,91,80,1
103,60,52,60,91,104,2
124,60,59,80,91,64,1
103,50,55,80,56,64,1
124,45,55,60,70,104,1
110,45,52,80,70,64,2
103,60,59,80,56,80,2
103,45,59,65,70,80,1
124,50,52,65,56,80,2
118,60,46,60,70,27,2
97,45,49,60,91,22,2
118,45,53,65,56,22,2
104,45,53,65,91,35,2
104,50,53,60,56,35,2
97,50,53,60,91,27,2
97,60,49,65,70,22,2
97,50,46,65,70,35,2
104,60,53,80,70,35,2
182,60,69,65,182,80,2
165,60,63,60,182,104,2
215,60,77,80,182,64,2
165,50,69,80,112,64,2
215,45,69,60,140,104,2
182,45,63,80,140,64,2
165,60,77,80,112,80,3
165,45,77,65,140,80,2
215,50,63,65,112,80,2
281,50,119,60,0,0,2
281,50,109,80,0,0,1
281,45,101,80,0,0,2
216,45,101,80,0,0,2
238,50,101,65,0,0,2
238,45,109,60,0,0,2
238,60,101,60,0,0,2
281,60,109,65,0,0,2
238,50,109,80,0,0,2
64,3120,40,3380,0,0,2
71,3120,42,4160,0,0,2
61,3120,38,3120,0,0,2
61,2600,40,4160,0,0,1
71,2340,40,3120,0,0,1
64,2340,38,4160,0,0,1
61,3120,42,4160,0,0,2
71,2600,38,3380,0,0,2
61,2340,42,3380,0,0,2
139,2600,81,3120,0,0,2
139,2600,77,4160,0,0,2
139,2340,74,4160,0,0,1
110,2340,74,4160,0,0,1
120,2600,74,3380,0,0,2
120,2340,77,3120,0,0,1
120,3120,74,3120,0,0,2
139,3120,77,3380,0,0,2
120,2600,77,4160,0,0,1
148,2600,75,3120,0,0,2
148,2340,68,4160,0,0,1
148,2600,71,4160,0,0,1
112,2340,68,4160,0,0,1
124,2600,68,3380,0,0,1
124,2340,71,3120,0,0,1
124,3120,68,3120,0,0,2
148,3120,71,3380,0,0,1
124,2600,71,4160,0,0,1
87,3120,34,3380,0,0,2
80,3120,31,3120,0,0,2
101,3120,38,4160,0,0,2
80,2600,34,4160,0,0,2
101,2340,34,3120,0,0,2
87,2340,31,4160,0,0,1
80,3120,38,4160,0,0,2
80,2340,38,3380,0,0,1
101,2600,31,3380,0,0,2
66,2600,37,3120,50,32,2
66,2600,35,4160,65,52,2
66,2340,33,4160,65,40,2
56,2340,33,4160,40,52,2
59,2600,33,3380,65,32,2
59,2340,35,3120,40,40,2
59,3120,33,3120,40,32,2
66,3120,35,3380,40,52,2
59,2600,35,4160,50,40,2
121,3120,49,3120,0,0,2
100,2340,52,3120,0,0,2
121,2340,56,3380,0,0,2
107,2340,56,3380,0,0,2
107,2600,56,3120,0,0,2
100,2600,56,3120,0,0,2
100,3120,52,3380,0,0,2
100,2600,49,3380,0,0,2
107,3120,56,4160,0,0,1
205,3120,55,3120,0,0,2
159,2340,61,3120,0,0,2
205,2340,69,3380,0,0,2
174,2340,69,3380,0,0,2
174,2600,69,3120,0,0,2
159,2600,69,3120,0,0,1
159,3120,61,3380,0,0,2
159,2600,55,3380,0,0,2
174,3120,69,4160,0,0,1
97,3120,44,3380,0,0,2
88,3120,41,3120,0,0,2
114,3120,48,4160,0,0,2
88,2600,44,4160,0,0,2
114,2340,44,3120,0,0,2
97,2340,41,4160,0,0,2
88,3120,48,4160,0,0,2
88,2340,48,3380,0,0,2
114,2600,41,3380,0,0,2
274,2600,131,3120,210,48,2
274,2600,123,4160,273,78,1
274,2340,117,4160,273,60,1
209,2340,117,4160,168,78,1
231,2600,117,3380,273,48,2
231,2340,123,3120,168,60,2
231,3120,117,3120,168,48,2
274,3120,123,3380,168,78,2
231,2600,123,4160,210,60,1
109,2600,44,3120,90,40,2
109,2600,40,4160,117,65,2
109,2340,37,4160,117,50,1
88,2340,37,4160,72,65,2
95,2600,37,3380,117,40,2
95,2340,40,3120,72,50,2
95,3120,37,3120,72,40,2
109,3120,40,3380,72,65,2
95,2600,40,4160,90,50,2
85,3120,30,3380,0,0,2
78,3120,27,3120,0,0,2
99,3120,34,4160,0,0,2
78,2600,30,4160,0,0,2
99,2340,30,3120,0,0,2
85,2340,27,4160,0,0,2
78,3120,34,4160,0,0,2
78,2340,34,3380,0,0,2
99,2600,27,3380,0,0,2
141,3120,62,3120,90,55,2
109,2340,65,3120,117,44,2
141,2340,69,3380,72,44,2
120,2340,69,3380,117,71,2
120,2600,69,3120,72,71,2
109,2600,69,3120,117,55,2
109,3120,65,3380,90,44,2
109,2600,62,3380,90,71,2
120,3120,69,4160,90,71,1
173,2600,97,3120,90,48,2
173,2600,93,4160,117,78,1
173,2340,90,4160,117,60,1
136,2340,90,4160,72,78,1
148,2600,90,3380,117,48,1
148,2340,93,3120,72,60,2
148,3120,90,3120,72,48,2
173,3120,93,3380,72,78,2
148,2600,93,4160,90,60,1
152,3120,76,3120,0,0,2
122,2340,79,3120,0,0,1
152,2340,83,3380,0,0,2
132,2340,83,3380,0,0,2
132,2600,83,3120,0,0,2
122,2600,83,3120,0,0,1
122,3120,79,3380,0,0,2
122,2600,76,3380,0,0,2
132,3120,83,4160,0,0,1
92,3120,39,3380,78,30,2
85,3120,36,3120,78,39,2
106,3120,43,4160,78,24,2
85,2600,39,4160,48,24,2
106,2340,39,3120,60,39,2
92,2340,36,4160,60,24,2
85,3120,43,4160,48,30,2
85,2340,43,3380,60,30,2
106,2600,36,3380,48,30,2
54,3120,21,3120,40,84,2
54,2340,25,3380,32,67,1
44,2340,23,3120,52,67,2
47,2340,25,3380,52,109,1
47,2600,25,3120,32,109,2
44,2600,25,3120,52,84,2
44,3120,23,3380,40,67,2
47,3120,25,4160,40,109,1
44,2600,21,3380,40,109,1
133,2600,62,3120,75,40,2
133,2600,58,4160,97,65,2
133,2340,55,4160,97,50,2
103,2340,55,4160,60,65,2
113,2600,55,3380,97,40,2
113,2340,58,3120,60,50,2
113,3120,55,3120,60,40,2
133,3120,58,3380,60,65,2
113,2600,58,4160,75,50,2
263,3120,112,3120,150,75,2
203,2340,118,3120,195,60,2
263,2340,126,3380,120,60,2
223,2340,126,3380,195,97,2
223,2600,126,3120,120,97,2
203,2600,126,3120,195,75,2
203,3120,118,3380,150,60,2
203,2600,112,3380,150,97,2
223,3120,126,4160,150,97,1
107,2600,81,3120,90,44,2
107,2600,79,4160,117,71,2
107,2340,77,4160,117,55,2
82,2340,77,4160,72,71,2
90,2600,77,3380,117,44,2
90,2340,79,3120,72,55,2
90,3120,77,3120,72,44,2
107,3120,79,3380,72,71,2
90,2600,79,4160,90,55,2
195,3120,66,3380,0,0,2
177,3120,58,3120,0,0,2
231,3120,76,4160,0,0,2
177,2600,66,4160,0,0,1
231,2340,66,3120,0,0,2
195,2340,58,4160,0,0,1
177,3120,76,4160,0,0,2
177,2340,76,3380,0,0,1
231,2600,58,3380,0,0,2
138,3120,83,3380,104,160,2
126,3120,80,3120,104,208,2
163,3120,87,4160,104,128,2
126,2600,83,4160,64,128,1
163,2340,83,3120,80,208,2
138,2340,80,4160,80,128,2
126,3120,87,4160,64,160,2
126,2340,87,3380,80,160,2
163,2600,80,3380,64,160,2
97,2220,27,2220,0,0,2
76,1665,30,2220,0,0,2
97,1665,34,2405,0,0,1
83,1665,34,2405,0,0,1
83,1850,34,2220,0,0,2
76,1850,34,2220,0,0,2
76,2220,30,2405,0,0,2
76,1850,27,2405,0,0,2
83,2220,34,2960,0,0,2
131,162,55,162,0,0,2
101,121,58,162,0,0,1
131,121,62,175,0,0,1
111,121,62,175,0,0,1
111,135,62,162,0,0,1
101,135,62,162,0,0,1
101,162,58,175,0,0,2
101,135,55,175,0,0,1
111,162,62,216,0,0,1
97,218,39,262,50,28,2
97,218,36,349,65,45,2
97,196,34,349,65,35,1
79,196,34,349,40,45,1
85,218,34,283,65,28,2
85,196,36,262,40,35,2
85,262,34,262,40,28,2
97,262,36,283,40,45,2
85,218,36,349,50,35,2
257,60,102,60,160,105,2
195,45,108,60,208,84,2
257,45,116,65,128,84,2
216,45,116,65,208,136,2
216,50,116,60,128,136,2
195,50,116,60,208,105,2
195,60,108,65,160,84,2
195,50,102,65,160,136,2
216,60,116,80,160,136,2
92,179,34,215,60,24,2
92,179,31,286,78,39,1
92,161,29,286,78,30,1
74,161,29,286,48,39,1
80,179,29,233,78,24,1
80,161,31,215,48,30,1
80,215,29,215,48,24,2
92,215,31,233,48,39,2
80,179,31,286,60,30,1
292,168,71,168,190,110,2
224,126,80,168,247,88,2
292,126,92,182,152,88,2
247,126,92,182,247,143,2
247,140,92,168,152,143,2
224,140,92,168,247,110,2
224,168,80,182,190,88,2
224,140,71,182,190,143,2
247,168,92,224,190,143,2
132,259,54,259,60,45,3
102,194,57,259,78,36,3
132,194,61,281,48,36,3
112,194,61,281,78,58,3
112,216,61,259,48,58,3
102,216,61,259,78,45,3
102,259,57,281,60,36,3
102,216,54,281,60,58,3
112,259,61,346,60,58,3
240,20,84,20,160,115,2
185,15,90,20,208,92,2
240,15,98,22,128,92,2
203,15,98,22,208,149,2
203,17,98,20,128,149,2
185,17,98,20,208,115,2
185,20,90,22,160,92,2
185,17,84,22,160,149,2
203,20,98,27,160,149,2
186,81,123,84,210,88,2
186,81,119,92,273,143,2
186,73,116,88,273,110,2
165,73,116,88,168,143,2
172,81,116,88,273,88,2
172,73,119,81,168,110,2
172,97,116,97,168,88,2
186,97,119,99,168,143,2
172,81,119,92,210,110,2
120,50,67,65,78,35,2
141,50,71,74,78,28,1
109,50,64,60,78,45,2
109,42,67,65,48,28,2
141,38,67,46,60,45,2
120,38,64,58,60,28,1
109,50,71,74,48,35,1
109,38,71,48,60,35,1
141,42,64,54,48,35,2
113,60,48,71,80,40,2
113,60,44,84,104,65,1
113,54,41,78,104,50,2
92,54,41,78,64,65,2
99,60,41,74,104,40,2
99,54,44,65,64,50,2
99,72,41,78,64,40,2
113,72,44,84,64,65,2
99,60,44,84,80,50,2
215,84,79,97,140,72,2
215,76,65,109,182,90,2
215,84,71,118,182,117,2
169,76,65,109,112,117,2
184,84,65,105,182,72,2
184,76,71,90,112,90,2
184,101,65,109,112,72,2
215,101,71,118,112,117,2
184,84,71,118,140,90,2
206,71,122,78,135,56,2
206,71,118,92,175,91,2
206,64,115,84,175,70,2
157,64,115,84,108,91,2
173,71,115,81,175,56,2
173,64,118,74,108,70,2
173,85,115,88,108,56,2
206,85,118,92,108,91,2
173,71,118,92,135,70,2
140,78,62,84,90,60,2
110,58,65,68,117,48,2
140,58,69,74,72,48,2
120,58,69,74,117,78,2
120,65,69,74,72,78,2
110,65,69,74,117,60,2
110,78,65,88,90,48,1
110,65,62,78,90,78,2
120,78,69,99,90,78,2
147,50,70,58,60,35,2
116,38,73,44,78,28,3
147,38,77,48,48,28,3
126,38,77,48,78,45,2
126,42,77,48,48,45,2
116,42,77,48,78,35,3
116,50,73,60,60,28,3
116,42,70,53,60,45,3
126,50,77,71,60,45,3
202,110,113,112,150,240,2
202,83,120,94,120,192,2
155,83,116,92,195,192,2
171,83,120,94,195,312,2
171,92,120,99,120,312,2
155,110,116,118,150,192,2
155,92,120,99,195,240,2
155,92,113,105,150,312,2
171,110,120,133,150,312,2
116,72,44,78,60,50,2
95,54,47,65,78,40,1
116,54,51,68,48,40,3
102,54,51,68,78,65,2
102,60,51,71,48,65,2
95,60,51,71,78,50,2
95,72,47,84,60,40,2
95,60,44,74,60,65,2
102,72,51,94,60,65,3
177,101,64,112,143,95,2
162,101,58,109,143,123,2
208,101,72,137,143,76,2
162,84,64,118,88,76,2
208,76,64,88,110,123,2
177,76,58,109,110,76,2
162,101,72,137,88,95,2
162,76,72,92,110,95,2
208,84,58,99,88,95,1
127,85,78,92,130,144,2
118,85,75,88,130,187,2
145,85,82,105,130,115,2
118,71,78,92,80,115,2
145,64,78,74,100,187,2
127,64,75,84,100,115,2
118,85,82,105,80,144,2
118,64,82,76,100,144,2
145,71,75,84,80,144,2
91,46,38,58,0,0,2
83,46,35,54,0,0,2
108,46,42,68,0,0,2
83,38,38,60,0,0,2
108,34,38,42,0,0,2
91,34,35,54,0,0,2
83,46,42,68,0,0,2
83,34,42,44,0,0,2
108,38,35,50,0,0,2
102,72,28,78,110,50,2
78,54,31,65,143,40,2
102,54,35,68,88,40,2
86,54,35,68,143,65,2
86,60,35,71,88,65,2
78,60,35,71,143,50,1
78,72,31,84,110,40,1
78,60,28,74,110,65,2
86,72,35,94,110,65,1
98,48,87,48,156,50,2
115,48,89,51,156,40,2
90,48,85,47,156,65,2
90,40,87,46,96,40,2
115,36,87,40,120,65,2
98,36,85,42,120,40,2
90,48,89,51,96,50,2
115,40,85,42,96,50,2
90,36,89,40,120,50,1
62,76,43,116,0,0,2
57,76,41,108,0,0,2
72,76,46,136,0,0,1
57,63,43,116,0,0,2
72,57,43,82,0,0,2
62,57,41,106,0,0,2
57,76,46,136,0,0,2
57,57,46,89,0,0,2
72,63,41,97,0,0,2
126,156,71,169,117,65,2
147,156,75,194,117,52,2
115,156,68,162,117,84,2
115,130,71,176,72,52,1
147,117,71,136,90,84,2
115,156,75,194,72,65,2
126,117,68,162,90,52,2
147,130,68,153,72,65,2
115,117,75,142,90,65,2
135,156,57,167,0,0,2
105,117,60,136,0,0,2
135,117,64,147,0,0,2
115,117,64,147,0,0,2
115,130,64,147,0,0,2
105,130,64,147,0,0,2
105,156,60,176,0,0,2
105,130,57,155,0,0,2
115,156,64,198,0,0,2
122,145,78,153,80,80,2
122,109,82,130,64,64,2
95,109,80,119,104,64,2
104,109,82,130,104,104,2
104,121,82,136,64,104,2
95,145,80,155,80,64,2
95,121,82,136,104,80,2
104,145,82,167,80,104,3
95,121,78,136,80,104,2
117,70,64,82,0,0,2
106,70,61,79,0,0,2
139,70,68,92,0,0,2
106,58,64,82,0,0,1
139,52,64,60,0,0,2
117,52,61,74,0,0,1
106,70,68,92,0,0,1
106,52,68,63,0,0,2
139,58,61,70,0,0,2
72,48,37,53,40,15,2
72,36,41,43,32,12,2
59,36,39,41,52,12,2
63,36,41,43,52,19,2
63,40,41,45,32,19,2
59,40,41,45,52,15,2
59,48,39,58,40,12,1
63,48,41,67,40,19,1
59,40,37,50,40,19,1
169,100,56,108,195,140,2
154,100,50,100,195,182,2
200,100,64,133,195,112,2
154,83,56,133,120,112,2
200,75,56,100,150,182,2
169,75,50,133,150,112,2
154,100,64,133,120,140,2
154,75,64,108,150,140,2
200,83,50,108,120,140,2
199,100,86,108,208,90,2
238,100,94,133,208,72,2
180,100,80,100,208,117,2
180,83,86,133,128,72,1
238,75,86,100,160,117,2
180,100,94,133,128,90,3
199,75,80,133,160,72,1
180,75,94,108,160,90,2
238,83,80,108,128,90,2
209,100,63,100,150,100,2
161,75,69,100,195,80,2
209,75,77,108,120,80,2
177,75,77,108,195,130,2
177,83,77,100,120,130,2
161,83,77,100,195,100,2
161,100,69,108,150,80,2
161,83,63,108,150,130,2
177,100,77,133,150,130,2
111,83,48,100,60,28,3
111,83,44,133,78,45,3
90,75,41,133,48,45,3
111,75,41,133,78,35,3
97,83,41,108,78,28,3
97,75,44,100,48,35,3
97,100,41,100,48,28,3
111,100,44,108,48,45,3
97,83,44,133,60,35,3
249,100,76,100,250,205,2
195,75,84,100,325,164,2
249,75,94,108,200,164,2
213,75,94,108,325,266,2
213,83,94,100,200,266,2
195,83,94,100,325,205,2
195,100,84,108,250,164,2
195,83,76,108,250,266,2
213,100,94,133,250,266,2
181,100,126,108,182,85,2
164,100,123,100,182,110,2
164,83,126,133,112,68,1
214,100,130,133,182,68,2
214,75,126,100,140,110,2
181,75,123,133,140,68,3
164,100,130,133,112,85,2
164,75,130,108,140,85,1
214,83,123,108,112,85,2
207,5040,78,5460,214,165,2
189,5040,70,5040,214,214,2
243,5040,88,6720,214,132,2
189,4200,78,6720,132,132,2
243,3780,78,5040,165,214,2
207,3780,70,6720,165,132,2
189,5040,88,6720,132,165,2
189,3780,88,5460,165,165,2
243,4200,70,5460,132,165,2
133,4200,61,5040,120,60,2
133,4200,57,6720,156,97,2
133,3780,54,6720,156,75,2
102,3780,54,6720,96,97,2
112,4200,54,5460,156,60,2
112,3780,57,5040,96,75,2
112,5040,54,5040,96,60,2
133,5040,57,5460,96,97,2
112,4200,57,6720,120,75,2
97,5040,44,5460,0,0,2
111,5040,48,6720,0,0,2
90,5040,41,5040,0,0,2
90,4200,44,6720,0,0,2
111,3780,44,5040,0,0,2
97,3780,41,6720,0,0,2
90,5040,48,6720,0,0,2
90,3780,48,5460,0,0,2
111,4200,41,5460,0,0,2
77,5040,22,5460,117,120,2
70,5040,19,5040,117,156,2
91,5040,26,6720,117,96,1
70,4200,22,6720,72,96,1
91,3780,22,5040,90,156,1
77,3780,19,6720,90,96,1
70,5040,26,6720,72,120,2
70,3780,26,5460,90,120,1
91,4200,19,5460,72,120,2
117,4200,54,5040,80,24,2
117,4200,50,6720,104,39,2
117,3780,47,6720,104,30,1
96,3780,47,6720,64,39,2
103,4200,47,5460,104,24,2
103,3780,50,5040,64,30,2
103,5040,47,5040,64,24,2
117,5040,50,5460,64,39,2
103,4200,50,6720,80,30,2
136,5040,81,5460,104,50,2
125,5040,78,5040,104,65,2
158,5040,85,6720,104,40,1
125,4200,81,6720,64,40,1
158,3780,81,5040,80,65,1
136,3780,78,6720,80,40,1
125,5040,85,6720,64,50,1
125,3780,85,5460,80,50,1
158,4200,78,5460,64,50,1
102,5040,49,5460,78,100,2
93,5040,46,5040,78,130,2
120,5040,53,6720,78,80,2
93,4200,49,6720,48,80,1
120,3780,49,5040,60,130,2
102,3780,46,6720,60,80,2
93,5040,53,6720,48,100,2
93,3780,53,5460,60,100,2
120,4200,46,5460,48,100,2
107,5040,52,5460,156,80,2
100,5040,49,5040,156,104,2
121,5040,56,6720,156,64,2
100,4200,52,6720,96,64,2
121,3780,52,5040,120,104,2
107,3780,49,6720,120,64,2
100,5040,56,6720,96,80,2
100,3780,56,5460,120,80,2
121,4200,49,5460,96,80,2
126,5040,56,5040,100,150,2
105,3780,59,5040,130,120,2
126,3780,63,5460,80,120,2
112,3780,63,5460,130,195,2
112,4200,63,5040,80,195,2
105,4200,63,5040,130,150,2
105,5040,59,5460,100,120,2
105,4200,56,5460,100,195,2
112,5040,63,6720,100,195,2
132,5040,77,5460,117,65,2
122,5040,74,5040,117,84,2
122,4200,77,6720,72,52,1
152,5040,81,6720,117,52,1
152,3780,77,5040,90,84,2
132,3780,74,6720,90,52,1
122,5040,81,6720,72,65,1
122,3780,81,5460,90,65,1
152,4200,74,5460,72,65,1
167,4200,103,5040,80,120,1
167,4200,99,6720,104,195,2
167,3780,96,6720,104,150,2
126,3780,96,6720,64,195,2
140,4200,96,5460,104,120,2
140,3780,99,5040,64,150,2
140,5040,96,5040,64,120,2
167,5040,99,5460,64,195,2
140,4200,99,6720,80,150,2
136,4200,67,5040,70,36,2
136,3780,60,6720,91,45,1
136,4200,63,6720,91,58,1
106,3780,60,6720,56,58,1
116,4200,60,5460,91,36,2
116,5040,60,5040,56,36,2
116,3780,63,5040,56,45,2
136,5040,63,5460,56,58,2
116,4200,63,6720,70,45,1
103,5040,31,5040,0,0,1
82,3780,34,5040,0,0,1
103,3780,38,5460,0,0,1
89,3780,38,5460,0,0,1
89,4200,38,5040,0,0,1
82,4200,38,5040,0,0,1
82,5040,34,5460,0,0,1
82,4200,31,5460,0,0,1
89,5040,38,6720,0,0,1
94,5040,39,5460,97,25,1
86,5040,36,5040,97,32,1
111,5040,43,6720,97,20,3
86,4200,39,6720,60,20,1
111,3780,39,5040,75,32,3
94,3780,36,6720,75,20,3
86,5040,43,6720,60,25,3
86,3780,43,5460,75,25,1
111,4200,36,5460,60,25,3
103,179,33,179,60,40,2
82,134,36,179,78,32,2
103,134,40,194,48,32,2
89,134,40,194,78,52,1
89,149,40,179,48,52,2
82,149,40,179,78,40,2
82,179,36,194,60,32,2
82,149,33,194,60,52,2
89,179,40,238,60,52,1
61,209,28,209,0,0,2
61,157,32,226,0,0,2
51,157,30,209,0,0,2
54,157,32,226,0,0,2
54,174,32,209,0,0,2
51,209,30,226,0,0,2
51,174,32,209,0,0,2
54,209,32,278,0,0,2
51,174,28,226,0,0,2
97,266,44,289,78,40,2
90,266,41,266,78,52,2
111,266,48,355,78,32,2
90,222,44,355,48,32,2
111,200,44,266,60,52,2
97,200,41,355,60,32,2
90,266,48,355,48,40,2
90,200,48,289,60,40,2
111,222,41,289,48,40,2
115,271,91,294,117,45,2
131,271,93,362,117,36,2
107,271,89,271,117,58,2
107,226,91,362,72,36,3
131,203,91,271,90,58,2
107,271,93,362,72,45,3
115,203,89,362,90,36,2
131,226,89,294,72,45,3
107,203,93,294,90,45,3
215,62,135,64,150,65,2
